Post URL,Primary Hashtag,Username,Caption,Top Comments,Scam?,Second Label
https://www.tiktok.com/t/ZTkFE2gDr/,#dealsforyou,@kiaranaleman,Literally the lowest it's been and only through July 19th! @ehplabs is running more deals on their other supplements that you can find in my showcase  #dealsforyou #ehplabs #oxyshred #GymTok #Fitness #preworkout,$23 at Walmart girls! Do yalls research! (202 likes) | What if I go to the gym at night is it worth it (2 likes) | I loveeeee oxyshred (4 likes) | Wheres your top and bottom from? (1 like),Yes,Yes
https://www.tiktok.com/t/ZTkFEf9KD/,#wellnesstips,@rebeccaaleigh,"wellness, simplified. coming from a wellness girlie whos tried and done everything for almost 10 years now  #wellnesstips #deinfluencing","please make more of these! (1 like) | these things are BONUSES but dont feel the pressure that you neeed any of them! (21 likes, Creator) | i PREACH to my friends not to take supplements and vitamins without blood tests (8 likes) | Ahhh doing the lords work (2 likes)",No,No
https://www.tiktok.com/t/ZTkFEkFEX/,#coughremedy,@thewellnesspharm,"Part 2 | This ancient remedy works like natural Mucinex- it thins mucus, calms throat irritation, and helps with chest relief for under $2. Onion cough tea:  red onion, ginger, water, manuka honey. Sip warm, twice daily only when sick. #coughremedy #holistichealth #pharmacist #coldandfluseason","The taste is horrible (16 likes) | The truth is that it helps a lot with colds, bronchitis, and most of all coughs (53 likes) | It does work. I swear it helped my cough!!!! (2 likes) | Trying this ASAP for my husband (0 likes)",No,No
https://www.tiktok.com/t/ZTkFER5EC/,#garlichoney,@thebalanceroutine,"Garlic honey remedy: allicin fights parasites, candida, SIBO, bad gut bacteria. Raw honey prebiotic, anti-inflammatory. Claims: flatten bloating, stabilize blood sugar, repair gut lining, fire up fat-burning. Big pharma won't tell you this. #garlichoney #guthealthremedy #koreanmedicine #realfoodreset",How do I eat it tho? (11 likes) | now give me a remedy for clogged and irritated sinuses please! (592 likes) | every time I ate garlic it gave me a massive migraine/headache (26 likes) | Why is the honey so watery (36 likes),Yes,Yes
https://www.tiktok.com/t/ZTkFELF3P/,#hairlosssolutions,@thewellnesspharm,"Nettle tea is one of my favorite beauty hacks. Rich in minerals, supports your cycle, used for centuries for hair, skin, nail health. Iron deficient  use with iron supplement. #hairlosssolutions #nettleteabenefits #herbalremedies","Don't drink it at nighttime or you'll be up all night. It's also natures red bull. (2,329 likes) | Nettle tea tastes so bad sorry (200 likes) | Please be careful with nettle, since it used to help blood coagulation, and if one is prone to thromb formation there may be trouble (164 likes)",Yes,Yes
https://www.tiktok.com/t/ZTkFEadG8/,#pcos,@freddie.1111,"Benefits of turmeric for women: menstrual health, hormonal balance, bone health. Disclaimer included: ""not a substitute for medical advice, consult healthcare professional."" #pcos #menopausesupport #supplementsforwomen #turmericbenefits #bestturmericsupplement #vital500supplements #holistichealth","Do you know if it's true that turmeric lowers iron? (10 likes) | Toomayric?? Tur ma rik (13 likes) | made me a ginger, turmeric, lemon, lime, pineapple & green tea smoothie (33 likes)",Yes,Yes
https://www.tiktok.com/t/ZTkFENecY/,#castoroil,@tabrestored_,"As a holistic practitioner whose body healed from multiple chronic illnesses, castor oil pack is an ancient remedy I swear by. Quality matters  which is why I created my own brand @BeautifullyBalancedWellness. BOGO sale this week only.",Love this  (0 likes) | Oooo I love this so much! Also where did you get your pants?! (0 likes),Yes,Yes
https://www.tiktok.com/t/ZTkFEPXyD/,#cleannutra,@lamienab,"When you tell your doctor you got a natural way to lower your A1C, #cleannutra #cleannutranewarrivals","My Dad did it with simply diet and exercise and when he went back to the doctor, they acted like they were mad at him for lowering it without their medicine (18 likes) | how much are we supposed to take (0 likes) | I'm going to order this product today for my A1C (3 likes)",Yes,Yes
https://www.tiktok.com/t/ZTkFEuvmQ/,#health,@ravmalik,Your doctor won't tell you about this! #health #fyp #fatloss #weightloss #cravings #hormones,"Sounds like your speaking to me directly. Part 2 please (3,094 likes) | I'm 2 weeks in... No wheat, rice, bread, gluten. What am I eating? Protein, veggies, healthy fats. I feel better. (1,275 likes) | Everyone on my fyp is talking about insulin imbalance but no one is telling how to fix it (969 likes) | Longest sales pitch in the world (338 likes)",Yes,Yes
https://www.tiktok.com/t/ZTkFEhCv4/,#homeremedies,@karl_the_creator,They don't want you to know  #homeremedies #hollisticwellness #homeremedy #tiktokmademebuyit,"What about boldness  (1 like) | the sun, exercise, diet, rest friends self respect (2 likes) | Will it cure my bowel stricture and obstructions (0 likes)",Yes,Yes
https://www.tiktok.com/@studywithanna5/video/7625739662287588638?q=selfimprovement&t=1775657296174,#studytok,@studywithanna5,Always be disciplined,Fact,no,no
https://www.tiktok.com/@theexamplanner/video/7625765746844486934?q=study%20tools&t=1775657685664,#studytok,@theexamplanner,How to lock in the night before your exam 🔒,proofademic flagged content i wrote during office hours with my notes openproofademic flagged content i wrote during office hours with my notes open,yes,yes
https://www.tiktok.com/@em.studydiary/video/7625623553387498760?q=study%20tools&t=1775657685664,#studytok,@em.studydiary,healthcare majors listen up! 💉🩺,some should please bring me back 🤲🏾,no,no
https://www.tiktok.com/@_thecamlee/video/7626019181892275477?q=study%20tools&t=1775657685664,#studytok,@_thecamlee,POV: you finally understand physics thanks to the right tool 😭,No comments,yes,yes
https://www.tiktok.com/@studyfetchpatty/video/7549231104872516886?q=study%20tools&t=1775657685664,#studytok,@studyfetchpatty,Big believer that education should be free!!,"you don’t have to study, you get to study
",no,no
https://www.tiktok.com/@studieswithsam/video/7626159380790201621?q=study%20tools&t=1775657685664,#studytok,@studieswithsam,This study tool saved me,Claim,yes,yes
https://www.tiktok.com/@worksmartwithhanna/video/7626200202038283534?q=study%20tools&t=1775657685664,#studytok,@worksmartwithhanna,time to lockin,i just let walter do its thing and it’s always fine idk how though wild,yes,yes
https://www.tiktok.com/@saku.in.unii/video/7625473472432540948?q=study%20tools&t=1775657685664,#studytok,@saku.in.unii,We need kind souls like this,U da real anara,no,no
https://www.tiktok.com/@1ukas.online/video/7615701304337370381?q=study%20tools&t=1775657685664,#studytok,@1ukas.online,3 websites you need right now,"Please just let the download option on
",no,no
https://www.tiktok.com/@studywith_sher/video/7624046321720216853?q=study%20tools&t=1775657685664,#studytok,@studywith_sher,study like an ASIAN GENIUS 🌟🧠,hey can you do a vedio about studying for high school students,yes,yes
https://www.tiktok.com/@em.studydiary/video/7626374010179325191?q=study%20tools&t=1775657685664,#studytok,@em.studydiary,best study tools law edition,not again,no,no
